name,type,category,power,accuracy,priority,effect,rank_change
ヒートスタンプ,ほのお,物理,,100.0,0.0,自分が相手より重いほど威力上昇（40〜120）,
ねっぷう,ほのお,特殊,95.0,90.0,0.0,10%でやけど。周囲全体を攻撃,
ウッドホーン,くさ,物理,75.0,100.0,0.0,与ダメージの1/2を回復,
とおぼえ,ノーマル,変化,,,0.0,自分と味方のこうげきを1段階上げる,自分こうげき+1
はかいこうせん,ノーマル,特殊,150.0,90.0,0.0,使用後、次のターン動けない,
さいみんじゅつ,エスパー,変化,,60.0,0.0,相手をねむり状態にする（命中60）,
アイスハンマー,こおり,物理,100.0,90.0,0.0,自分のすばやさが1段階下がる,自分すばやさ-1
ひゃっきやこう,ゴースト,特殊,60.0,100.0,0.0,相手が状態異常なら威力2倍。30%でやけど,
アイアンテール,はがね,物理,100.0,75.0,0.0,30%で相手のぼうぎょを1段階下げる,相手ぼうぎょ-1(30%)
ジェットパンチ,みず,物理,60.0,100.0,1.0,先制攻撃（優先度+1）,
とっておき,ノーマル,物理,140.0,100.0,0.0,他の技を全て1回ずつ使わないと出せない,
ふんえん,ほのお,特殊,80.0,100.0,0.0,30%でやけど。周囲全体を攻撃,
メガトンキック,ノーマル,物理,120.0,75.0,0.0,追加効果なし,
メガホーン,むし,物理,120.0,85.0,0.0,追加効果なし,
おきみやげ,あく,変化,,100.0,0.0,自分は瀕死になるが、相手のこうげき・とくこうを2段階下げる,相手こうげき-2/とくこう-2
メタルバースト,はがね,物理,,100.0,0.0,直前に受けたダメージを1.5倍にして返す,
ひょうざんおろし,こおり,物理,100.0,85.0,0.0,30%で相手をひるませる,
どろかけ,じめん,特殊,20.0,100.0,0.0,相手の命中率を1段階下げる,
ナイトバースト,あく,特殊,85.0,95.0,0.0,40%で相手の命中率を1段階下げる,
はいすいのじん,かくとう,変化,,,0.0,全能力が1段階ずつ上がるが、交代・逃走できなくなる,自分全能力+1
ほっぺすりすり,でんき,物理,20.0,100.0,0.0,相手をまひ状態にする,
しかえし,あく,物理,50.0,100.0,0.0,相手より後に動くと威力2倍,
ミサイルばり,むし,物理,25.0,95.0,0.0,2〜5回連続攻撃,
どくづき,どく,物理,80.0,100.0,0.0,30%でどく,
かふんだんご,むし,特殊,90.0,100.0,0.0,相手には攻撃、味方に使うとHP回復,
とびつく,むし,物理,50.0,100.0,0.0,相手のすばやさを1段階下げる,相手すばやさ-1(100%)
つけあがる,あく,物理,20.0,100.0,0.0,自分の能力上昇1段階につき威力+20,
サイコノイズ,エスパー,特殊,75.0,100.0,0.0,2ターン、相手は回復技が使えなくなる（音技）,
バリアーラッシュ,エスパー,物理,90.0,90.0,0.0,自分のぼうぎょが1段階上がる,自分ぼうぎょ+1(100%)
いかりのこな,むし,変化,,,2.0,相手の攻撃を自分に集める（優先度+2）,
レイジングブル,ノーマル,物理,90.0,100.0,0.0,壁を壊してから攻撃。ケンタロスのフォルムでタイプが変わる,
あまごい,みず,変化,,,0.0,5ターン雨にする,
こうそくスピン,ノーマル,物理,50.0,100.0,0.0,設置技・拘束を解除し、自分のすばやさが1段階上がる,自分すばやさ+1(100%)
きしかいせい,かくとう,物理,,100.0,0.0,残りHPが少ないほど威力上昇（最大200）,
ライジングボルト,でんき,特殊,70.0,100.0,0.0,エレキフィールド中は威力2倍,
がんせきほう,いわ,物理,150.0,90.0,0.0,使用後、次のターン動けない,
しおづけ,いわ,物理,40.0,100.0,0.0,毎ターン相手のHPを削る。みず・はがねには倍のダメージ,
こわいかお,ノーマル,変化,,100.0,0.0,相手のすばやさを2段階下げる,相手すばやさ-2(100%)
ねっさのだいち,じめん,特殊,70.0,100.0,0.0,30%でやけど,
タネばくだん,くさ,物理,80.0,100.0,0.0,追加効果なし,
じばく,ノーマル,物理,200.0,100.0,0.0,自分は瀕死になる,
シェルアームズ,どく,特殊,90.0,100.0,0.0,物理・特殊の有利な方で判定。20%でどく,
たてこもる,はがね,変化,,,0.0,自分のぼうぎょを2段階上げる,自分ぼうぎょ+2
トラバサミ,くさ,物理,35.0,100.0,0.0,4〜5ターン相手を拘束し交代不能にする,
バークアウト,あく,特殊,55.0,95.0,0.0,相手のとくこうを1段階下げる（音技）,相手とくこう-1(100%)
ソーラーブレード,くさ,物理,125.0,100.0,0.0,1ターン溜めが必要。晴れでは溜めなし,
ニードルガード,くさ,変化,,,4.0,攻撃を防ぎ、接触してきた相手に最大HPの1/8ダメージ（優先度+4）,
かげぬい,ゴースト,物理,90.0,100.0,0.0,相手を交代できなくする,
てっていこうせん,はがね,特殊,140.0,95.0,0.0,自分は最大HPの1/2のダメージを受ける,
やまあらし,かくとう,物理,60.0,100.0,0.0,必ず急所に当たる,
ほおばる,くさ,変化,,,0.0,きのみを食べてぼうぎょを2段階上げる,自分ぼうぎょ+2
いかりのまえば,ノーマル,物理,,90.0,0.0,相手の残りHPを半分にする,
サンダーダイブ,でんき,物理,100.0,95.0,0.0,外すと自分が最大HPの1/2のダメージを受ける,
すりかえ,あく,変化,,100.0,0.0,相手と持ち物を入れ替える,
みずあめボム,くさ,特殊,60.0,85.0,0.0,3ターン、相手のすばやさが毎ターン1段階下がる,相手すばやさ-1(3ターン継続)
やけっぱち,ほのお,物理,75.0,100.0,0.0,直前の技が失敗していると威力2倍,
どろぼう,あく,物理,60.0,100.0,0.0,相手の持ち物を奪う,
あばれる,ノーマル,物理,120.0,100.0,0.0,2〜3ターン連続で攻撃し、その後こんらんになる,
かみなり,でんき,特殊,110.0,70.0,0.0,30%でまひ。雨では必中、晴れでは命中50,
かみなりのキバ,でんき,物理,65.0,95.0,0.0,10%でまひ、10%でひるみ,
でんじは,でんき,変化,,90.0,0.0,相手をまひ状態にする,
ひっくりかえす,あく,変化,,,0.0,相手の能力変化を逆転させる,
どくのいと,どく,変化,,100.0,0.0,相手をどく状態にし、すばやさを1段階下げる,相手すばやさ-1(100%)
3ぼんのや,かくとう,物理,90.0,100.0,0.0,50%で相手のぼうぎょを下げ、30%でひるませる。急所に当たりやすい,相手ぼうぎょ-1(50%)
トロピカルキック,くさ,物理,70.0,100.0,0.0,相手のこうげきを1段階下げる,相手こうげき-1(100%)
ツインビーム,エスパー,特殊,40.0,100.0,0.0,2回連続攻撃,
さわぐ,ノーマル,特殊,90.0,100.0,0.0,3ターン暴れ続け、その間場の全員がねむらない（音技）,
ボルテッカー,でんき,物理,120.0,100.0,0.0,与ダメージの1/3を反動で受ける。10%でまひ,
しおふき,みず,特殊,150.0,100.0,0.0,残りHPが多いほど威力上昇（最大150）,
うずしお,みず,特殊,35.0,85.0,0.0,4〜5ターン相手を拘束し交代不能にする,
ワイルドボルト,でんき,物理,90.0,100.0,0.0,与ダメージの1/4を反動で受ける,
まきつく,ノーマル,物理,35.0,90.0,0.0,4〜5ターン相手を拘束し交代不能にする,
